Taxon	Value	Name	UniRuleId
33208	3.40.50.150:FF:000235	protein-L-isoaspartate(D-aspartate) O-methyltransferase	ARBA00011890
NA	IPR006823,IPR031329,IPR031331	ceramidase	ARBA00011891
7711	IPR016699,IPR029130	ceramidase	ARBA00011891
33208	IPR008901	ceramidase	ARBA00011891
2759	PTHR28583:SF1	ceramidase	ARBA00011891
2759	3.60.60.10:FF:000002	ceramidase	ARBA00011891
33208	3.60.60.10:FF:000003	ceramidase	ARBA00011891
33090	2.60.40.2300:FF:000002	ceramidase	ARBA00011891
314147	2.60.40.2300:FF:000001	ceramidase	ARBA00011891
1206794	2.60.40.2300:FF:000003	ceramidase	ARBA00011891
3379134	IPR000053,IPR000312	thymidine phosphorylase	ARBA00011892
NA	1.20.970.10:FF:000011,3.40.1030.10:FF:000003,3.90.1170.30:FF:000003	thymidine phosphorylase	ARBA00011892
2	1.20.970.10:FF:000004,3.90.1170.30:FF:000005	thymidine phosphorylase	ARBA00011892
1783272	3.90.1170.30:FF:000007	thymidine phosphorylase	ARBA00011892
NA	IPR000836,IPR005764,IPR029057	adenine phosphoribosyltransferase	ARBA00011893
NA	IPR050054,PTHR32315:SF3	adenine phosphoribosyltransferase	ARBA00011893
2759	IPR050120	adenine phosphoribosyltransferase	ARBA00011893
2759	3.40.50.2020:FF:000123	adenine phosphoribosyltransferase	ARBA00011893
NA	3.40.50.2020:FF:000004	adenine phosphoribosyltransferase	ARBA00011893
33090	3.40.50.2020:FF:000022	adenine phosphoribosyltransferase	ARBA00011893
33208	3.40.50.2020:FF:000021	adenine phosphoribosyltransferase	ARBA00011893
NA	IPR000836,IPR005765,IPR029057	uracil phosphoribosyltransferase	ARBA00011894
NA	IPR050054,PTHR32315:SF4	uracil phosphoribosyltransferase	ARBA00011894
NA	3.40.50.2020:FF:000023	uracil phosphoribosyltransferase	ARBA00011894
NA	3.40.50.2020:FF:000003	uracil phosphoribosyltransferase	ARBA00011894
3384194	3.40.50.2020:FF:000020	uracil phosphoribosyltransferase	ARBA00011894
NA	IPR000836,IPR005904,PTHR43340:SF1	hypoxanthine phosphoribosyltransferase	ARBA00011895
2759	PTHR43340:SF6	hypoxanthine phosphoribosyltransferase	ARBA00011895
NA	3.40.50.2020:FF:000006	hypoxanthine phosphoribosyltransferase	ARBA00011895
2759	3.40.50.2020:FF:000019	hypoxanthine phosphoribosyltransferase	ARBA00011895
2698737	3.40.50.2020:FF:000064	hypoxanthine phosphoribosyltransferase	ARBA00011895
NA	IPR002429,IPR006311,IPR008972	nitrous-oxide reductase	ARBA00011896
2	2.130.10.10:FF:001102,2.60.40.420:FF:000095	nitrous-oxide reductase	ARBA00011896
NA	IPR001375,IPR002470,PTHR42881:SF2	prolyl oligopeptidase	ARBA00011897
2759	3.40.50.1820:FF:000005	prolyl oligopeptidase	ARBA00011897
33090	IPR002680,IPR038659	ubiquinol oxidase (non-electrogenic)	ARBA00011898
2759	1.20.1260.140:FF:000001	ubiquinol oxidase (non-electrogenic)	ARBA00011898
2759	IPR003764,IPR006680	N-acetylglucosamine-6-phosphate deacetylase	ARBA00011899
2759	3.20.20.140:FF:000023	N-acetylglucosamine-6-phosphate deacetylase	ARBA00011899
1783272	3.20.20.140:FF:000004	N-acetylglucosamine-6-phosphate deacetylase	ARBA00011899
NA	IPR012327,IPR029063	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	IPR002052,IPR050953	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
2	IPR011639	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
28211	IPR002941	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	PTHR33841:SF1	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	IPR003356,IPR038333	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	IPR051537	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
3379134	IPR002295	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	PTHR33841:SF6	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
1224	PTHR33841:SF5	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
2	3.40.50.150:FF:000276	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
3379134	1.10.1020.10:FF:000001	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
1224	3.40.50.150:FF:000284	site-specific DNA-methyltransferase (adenine-specific)	ARBA00011900
NA	IPR002502,IPR036505,IPR051206	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
90964	IPR002901,IPR025987	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
3379134	IPR002508,IPR050695	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
NA	IPR003646,IPR007921,IPR038765	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
2	3.40.80.10:FF:000002	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
NA	3.40.80.10:FF:000005	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
NA	3.90.1720.10:FF:000005	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
1783272	2.30.30.170:FF:000002	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
3379134	3.40.630.40:FF:000001	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
1224	3.40.630.40:FF:000003	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
1239	3.40.80.10:FF:000007	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
543	3.40.630.40:FF:000002	N-acetylmuramoyl-L-alanine amidase	ARBA00011901
NA	IPR013783,IPR017441,IPR020635	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR001245,IPR008266,IPR036116	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR000719,IPR002011,IPR011009	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR013151,IPR036179,IPR050122	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR001824	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR000494,IPR006211,IPR009030	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR003598,IPR003599,IPR016248	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR055163	receptor protein-tyrosine kinase	ARBA00011902
NA	PTHR24416:SF527	receptor protein-tyrosine kinase	ARBA00011902
NA	PTHR24416:SF91	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR044912	receptor protein-tyrosine kinase	ARBA00011902
NA	PTHR46877:SF18	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR020067,IPR036790,PTHR24416:SF317	receptor protein-tyrosine kinase	ARBA00011902
2759	3.30.200.20:FF:000001	receptor protein-tyrosine kinase	ARBA00011902
33208	2.60.40.1770:FF:000001	receptor protein-tyrosine kinase	ARBA00011902
7711	1.10.510.10:FF:000093,2.60.40.10:FF:000213	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000025	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000007	receptor protein-tyrosine kinase	ARBA00011902
NA	2.60.40.10:FF:000020	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000177	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000019	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000026	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000033	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000041	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000089	receptor protein-tyrosine kinase	ARBA00011902
NA	2.10.220.10:FF:000001	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000044	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000123	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:002828	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000113,3.30.200.20:FF:000117	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000130	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000341	receptor protein-tyrosine kinase	ARBA00011902
NA	2.10.220.10:FF:000008	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000053,2.60.120.260:FF:000007,3.30.200.20:FF:000082	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000190	receptor protein-tyrosine kinase	ARBA00011902
NA	4.10.1140.10:FF:000001	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.150.50:FF:000029,2.60.120.260:FF:000023,2.60.40.10:FF:000059	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.2000.10:FF:000009,1.10.510.10:FF:000176,3.30.200.20:FF:000159	receptor protein-tyrosine kinase	ARBA00011902
NA	2.60.40.10:FF:002810	receptor protein-tyrosine kinase	ARBA00011902
NA	2.60.40.10:FF:001010	receptor protein-tyrosine kinase	ARBA00011902
1206794	1.10.510.10:FF:001122,3.30.200.20:FF:000586	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000165	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000268	receptor protein-tyrosine kinase	ARBA00011902
NA	1.10.510.10:FF:000426	receptor protein-tyrosine kinase	ARBA00011902
121909	1.10.510.10:FF:000554	receptor protein-tyrosine kinase	ARBA00011902
6231	1.10.510.10:FF:001512	receptor protein-tyrosine kinase	ARBA00011902
300552	3.30.200.20:FF:000651	receptor protein-tyrosine kinase	ARBA00011902
NA	3.30.200.20:FF:000593	receptor protein-tyrosine kinase	ARBA00011902
NA	IPR000719,IPR000980,IPR020635	non-specific protein-tyrosine kinase	ARBA00011903
NA	IPR001452,IPR011009,IPR050198	non-specific protein-tyrosine kinase	ARBA00011903
7711	IPR000299,IPR017441	non-specific protein-tyrosine kinase	ARBA00011903
2759	IPR017164,IPR050339	non-specific protein-tyrosine kinase	ARBA00011903
NA	IPR055175	non-specific protein-tyrosine kinase	ARBA00011903
NA	IPR005702,IPR025669,PTHR32309:SF13	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000553	non-specific protein-tyrosine kinase	ARBA00011903
2759	3.30.200.20:FF:000053	non-specific protein-tyrosine kinase	ARBA00011903
33208	3.30.200.20:FF:000115	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.200.20:FF:000036	non-specific protein-tyrosine kinase	ARBA00011903
115366	1.10.510.10:FF:000114	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.200.20:FF:000037	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.200.20:FF:000089	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.20.80.10:FF:000004	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.505.10:FF:000044	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000216,1.10.930.10:FF:000001,3.30.200.20:FF:000185	non-specific protein-tyrosine kinase	ARBA00011903
9347	1.10.510.10:FF:000251	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.200.20:FF:000194	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000080,3.30.200.20:FF:000107	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000318	non-specific protein-tyrosine kinase	ARBA00011903
NA	4.10.680.10:FF:000001	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000376	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000521	non-specific protein-tyrosine kinase	ARBA00011903
NA	2.30.30.40:FF:000229	non-specific protein-tyrosine kinase	ARBA00011903
NA	3.30.40.10:FF:000131	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.1070.11:FF:000058,1.10.1070.11:FF:000074,1.20.120.150:FF:000001	non-specific protein-tyrosine kinase	ARBA00011903
33090	1.10.510.10:FF:000103,3.30.200.20:FF:000182	non-specific protein-tyrosine kinase	ARBA00011903
314147	2.40.33.10:FF:000023,3.20.20.60:FF:000025	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000396,3.30.200.20:FF:000297	non-specific protein-tyrosine kinase	ARBA00011903
1783272	3.40.50.300:FF:000527	non-specific protein-tyrosine kinase	ARBA00011903
35493	1.10.510.10:FF:000531,3.30.200.20:FF:000356	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000571,3.30.200.20:FF:000003,3.30.310.80:FF:000004	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000619,2.30.30.40:FF:000243,3.30.200.20:FF:000400	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000450,3.30.200.20:FF:000442	non-specific protein-tyrosine kinase	ARBA00011903
NA	1.10.510.10:FF:000552	non-specific protein-tyrosine kinase	ARBA00011903
NA	IPR017941,IPR027033,IPR036866	CMP-N-acetylneuraminate monooxygenase	ARBA00011904
314147	3.60.15.10:FF:000025	CMP-N-acetylneuraminate monooxygenase	ARBA00011904
NA	IPR008854,IPR025835,IPR029063	thiopurine S-methyltransferase	ARBA00011905
2759	3.40.50.150:FF:000101	thiopurine S-methyltransferase	ARBA00011905
NA	IPR002227,IPR008922,PTHR11474:SF124	tyrosinase	ARBA00011906
4751	IPR050316,PTHR11474:SF76	tyrosinase	ARBA00011906
7088	IPR000896,PTHR11511:SF4	tyrosinase	ARBA00011906
2759	1.10.1280.10:FF:000003	tyrosinase	ARBA00011906
NA	1.10.1280.10:FF:000004,1.20.1370.10:FF:000001,2.60.40.1520:FF:000001	tyrosinase	ARBA00011906
NA	IPR000436,IPR000742,PTHR24255:SF25	complement subcomponent C1r	ARBA00011907
NA	2.10.25.10:FF:000419,2.10.70.10:FF:000016,2.10.70.10:FF:000040	complement subcomponent C1r	ARBA00011907
NA	IPR003352,IPR003501,IPR029503	protein-Npi-phosphohistidine-D-mannitol phosphotransferase	ARBA00011909
2	3.40.50.2300:FF:000047	protein-Npi-phosphohistidine-D-mannitol phosphotransferase	ARBA00011909
1783272	3.40.50.2300:FF:000493	protein-Npi-phosphohistidine-D-mannitol phosphotransferase	ARBA00011909
3379134	IPR001996,IPR011299	protein-Npi-phosphohistidine-D-glucose phosphotransferase	ARBA00011910
1903409	3.30.1360.60:FF:000001	protein-Npi-phosphohistidine-D-glucose phosphotransferase	ARBA00011910
NA	IPR005720,IPR012135,IPR033886	dihydroorotate dehydrogenase (fumarate)	ARBA00011911
1578	IPR033888,IPR049622	dihydroorotate dehydrogenase (fumarate)	ARBA00011911
91061	3.20.20.70:FF:000027	dihydroorotate dehydrogenase (fumarate)	ARBA00011911
NA	IPR004558,IPR006638,IPR007197	coproporphyrinogen dehydrogenase	ARBA00011912
2	1.10.10.920:FF:000001	coproporphyrinogen dehydrogenase	ARBA00011912
NA	1.10.10.920:FF:000002	coproporphyrinogen dehydrogenase	ARBA00011912
28211	3.20.20.70:FF:000363	coproporphyrinogen dehydrogenase	ARBA00011912
NA	IPR001261,IPR002933,IPR010159	N-acyl-aliphatic-L-amino acid amidohydrolase	ARBA00011913
33208	IPR047177,PTHR45962:SF1	N-acyl-aliphatic-L-amino acid amidohydrolase	ARBA00011913
2759	1.10.150.900:FF:000001,3.30.70.360:FF:000005	N-acyl-aliphatic-L-amino acid amidohydrolase	ARBA00011913
33208	1.10.150.900:FF:000003,3.40.630.10:FF:000027	N-acyl-aliphatic-L-amino acid amidohydrolase	ARBA00011913
NA	IPR019410,IPR025800,IPR029063	calmodulin-lysine N-methyltransferase	ARBA00011914
2759	3.40.50.150:FF:000140	calmodulin-lysine N-methyltransferase	ARBA00011914
NA	IPR029045,IPR032259,PTHR43176:SF3	3-hydroxyisobutyryl-CoA hydrolase	ARBA00011915
33208	IPR045004	3-hydroxyisobutyryl-CoA hydrolase	ARBA00011915
2759	3.90.226.10:FF:000026	3-hydroxyisobutyryl-CoA hydrolase	ARBA00011915
2759	3.40.630.10:FF:000119	acetylornithine deacetylase	ARBA00011916
NA	IPR001279,IPR017782,PTHR11935:SF80	hydroxyacylglutathione hydrolase	ARBA00011917
NA	IPR035680,IPR036866,PTHR11935:SF94	hydroxyacylglutathione hydrolase	ARBA00011917
NA	IPR032282,IPR050110,PTHR43705:SF1	hydroxyacylglutathione hydrolase	ARBA00011917
40674	3.60.15.10:FF:000019	hydroxyacylglutathione hydrolase	ARBA00011917
2759	3.60.15.10:FF:000045	hydroxyacylglutathione hydrolase	ARBA00011917
NA	IPR001497,IPR014048,PTHR46460	methylated-DNA-[protein]-cysteine S-methyltransferase	ARBA00011918
2759	PTHR10815,PTHR10815:SF13	methylated-DNA-[protein]-cysteine S-methyltransferase	ARBA00011918
NA	1.10.10.10:FF:000214	methylated-DNA-[protein]-cysteine S-methyltransferase	ARBA00011918
2759	IPR007828	inositol oxygenase	ARBA00011919
2759	IPR003702,PTHR43609:SF1	acetyl-CoA hydrolase	ARBA00011920
NA	3.30.750.70:FF:000002,3.40.1080.10:FF:000003,3.40.1080.20:FF:000001	acetyl-CoA hydrolase	ARBA00011920
NA	3.10.129.10:FF:000011,3.10.129.10:FF:000029,3.30.530.20:FF:000023	acetyl-CoA hydrolase	ARBA00011920
2759	2.40.160.210:FF:000002	acetyl-CoA hydrolase	ARBA00011920
314147	3.40.47.10:FF:000010	acetyl-CoA hydrolase	ARBA00011920
NA	IPR001261,IPR002933,IPR010182	succinyl-diaminopimelate desuccinylase	ARBA00011921
NA	IPR005941,IPR036264,IPR050072	succinyl-diaminopimelate desuccinylase	ARBA00011921
2	3.30.70.360:FF:000011	succinyl-diaminopimelate desuccinylase	ARBA00011921
40674	IPR002937,IPR050703	primary-amine oxidase	ARBA00011922
33090	IPR000269,IPR015798	primary-amine oxidase	ARBA00011922
2759	IPR049947,PTHR10638:SF23	primary-amine oxidase	ARBA00011922
40674	1.10.405.10:FF:000005	primary-amine oxidase	ARBA00011922
2759	3.10.450.40:FF:000001,3.10.450.40:FF:000003	primary-amine oxidase	ARBA00011922
33090	2.70.98.20:FF:000004	primary-amine oxidase	ARBA00011922
35493	3.10.450.40:FF:000005	primary-amine oxidase	ARBA00011922
3193	3.10.450.40:FF:000012	primary-amine oxidase	ARBA00011922
NA	2.70.98.20:FF:000001,3.10.450.40:FF:000002,3.10.450.40:FF:000004	primary-amine oxidase	ARBA00011922
4751	3.10.450.40:FF:000014	primary-amine oxidase	ARBA00011922
2	3.10.450.40:FF:000025	primary-amine oxidase	ARBA00011922
NA	IPR000176,IPR025804,IPR029063	methyltransferase cap1	ARBA00011923
NA	IPR000467,IPR001202,IPR002877	methyltransferase cap1	ARBA00011923
2759	3.30.470.30:FF:000006,3.40.50.12760:FF:000001	methyltransferase cap1	ARBA00011923
2611352	3.40.50.12760:FF:000005	methyltransferase cap1	ARBA00011923
NA	IPR001461,IPR012848,PTHR47966:SF22	pepsin A	ARBA00011924
NA	IPR025799,IPR029063,PTHR11006:SF10	type I protein arginine methyltransferase	ARBA00011925
2759	IPR011993,IPR055135	type I protein arginine methyltransferase	ARBA00011925
NA	IPR036236,IPR049482	type I protein arginine methyltransferase	ARBA00011925
33208	IPR041698,PTHR11006:SF54	type I protein arginine methyltransferase	ARBA00011925
7711	PTHR11006:SF73	type I protein arginine methyltransferase	ARBA00011925
2759	2.70.160.11:FF:000002	type I protein arginine methyltransferase	ARBA00011925
33208	3.40.50.150:FF:000031	type I protein arginine methyltransferase	ARBA00011925
NA	3.40.50.150:FF:000003	type I protein arginine methyltransferase	ARBA00011925
7711	3.40.50.150:FF:000016	type I protein arginine methyltransferase	ARBA00011925
NA	3.40.50.150:FF:000034	type I protein arginine methyltransferase	ARBA00011925
35493	2.70.160.11:FF:000012,3.40.50.150:FF:000132	type I protein arginine methyltransferase	ARBA00011925
9347	3.40.50.150:FF:000173	type I protein arginine methyltransferase	ARBA00011925
3193	2.70.160.11:FF:000015	type I protein arginine methyltransferase	ARBA00011925
4447	3.40.50.150:FF:000116	type I protein arginine methyltransferase	ARBA00011925
NA	IPR004971,IPR029063,IPR039753	mRNA (guanine-N7)-methyltransferase	ARBA00011926
NA	IPR048294,IPR048596,IPR048597	mRNA (guanine-N7)-methyltransferase	ARBA00011926
10239	3.30.470.140:FF:000001,3.40.50.150:FF:000307	mRNA (guanine-N7)-methyltransferase	ARBA00011926
2759	3.40.50.150:FF:000280	mRNA (guanine-N7)-methyltransferase	ARBA00011926
4751	3.40.50.150:FF:000231	mRNA (guanine-N7)-methyltransferase	ARBA00011926
451864	3.40.50.150:FF:000412	mRNA (guanine-N7)-methyltransferase	ARBA00011926
2559587	3.40.50.10760:FF:000001	mRNA (guanine-N7)-methyltransferase	ARBA00011926
33090	3.40.50.150:FF:000127	mRNA (guanine-N7)-methyltransferase	ARBA00011926
35493	3.40.50.150:FF:000191	mRNA (guanine-N7)-methyltransferase	ARBA00011926
2759	IPR000878,IPR004551	diphthine methyl ester synthase	ARBA00011927
2759	3.30.950.10:FF:000004,3.40.1010.10:FF:000004	diphthine methyl ester synthase	ARBA00011927
2759	IPR006094,IPR015345	cytokinin dehydrogenase	ARBA00011928
2759	3.40.462.10:FF:000001	cytokinin dehydrogenase	ARBA00011928
33090	3.30.465.10:FF:000021	cytokinin dehydrogenase	ARBA00011928
NA	IPR004701,IPR004720,IPR033887	protein-Npi-phosphohistidine-D-mannose phosphotransferase	ARBA00011929
2	3.40.35.10:FF:000001,3.40.50.510:FF:000001	protein-Npi-phosphohistidine-D-mannose phosphotransferase	ARBA00011929
NA	IPR001461,IPR001969,PTHR47966:SF42	cathepsin D	ARBA00011930
2759	2.40.70.10:FF:000039,2.40.70.10:FF:000047	cathepsin D	ARBA00011930
33208	2.40.70.10:FF:000009,2.40.70.10:FF:000066	cathepsin D	ARBA00011930
NA	IPR000182,IPR002575,IPR011009	aminoglycoside 2''-phosphotransferase	ARBA00011931
NA	IPR000719,IPR001245,IPR039318	glycoprotein-mannosyl O6-kinase	ARBA00011932
2759	1.10.510.10:FF:000464	glycoprotein-mannosyl O6-kinase	ARBA00011932
40674	IPR001254,PTHR24271:SF54	complement factor D	ARBA00011933
NA	IPR000436,IPR001254,PTHR46393:SF1	alternative-complement-pathway C3/C5 convertase	ARBA00011934
NA	2.10.70.10:FF:000019,2.10.70.10:FF:000052,3.40.50.410:FF:000056	alternative-complement-pathway C3/C5 convertase	ARBA00011934
2759	IPR003788	type II protein arginine methyltransferase	ARBA00011935
7711	IPR007857,IPR025799	type II protein arginine methyltransferase	ARBA00011935
NA	2.70.160.11:FF:000003,3.20.20.150:FF:000008,3.40.50.150:FF:000029	type II protein arginine methyltransferase	ARBA00011935
2759	3.40.50.12710:FF:000001	type II protein arginine methyltransferase	ARBA00011935
NA	1.25.40.10:FF:000138,2.70.160.11:FF:000006,3.40.50.150:FF:000078	type II protein arginine methyltransferase	ARBA00011935
4447	3.20.20.150:FF:000016	type II protein arginine methyltransferase	ARBA00011935
NA	3.40.50.150:FF:000321	type II protein arginine methyltransferase	ARBA00011935
2	IPR000819,IPR023042	bacterial leucyl aminopeptidase	ARBA00011936
2	3.40.630.10:FF:000004	bacterial leucyl aminopeptidase	ARBA00011936
1783272	3.40.630.10:FF:000087	bacterial leucyl aminopeptidase	ARBA00011936
2759	IPR004856,PTHR12413:SF1	dolichyl-P-Glc:Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase	ARBA00011937
2759	IPR004856,PTHR12413:SF2	dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase	ARBA00011938
2759	IPR005599,PTHR22760:SF2	dolichyl-P-Man:Man8GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase	ARBA00011939
4751	IPR000652,IPR013785	triose-phosphate isomerase	ARBA00011940
6656	PTHR21139:SF2	triose-phosphate isomerase	ARBA00011940
2759	PTHR21139:SF34	triose-phosphate isomerase	ARBA00011940
4751	3.20.20.70:FF:000025	triose-phosphate isomerase	ARBA00011940
NA	3.20.20.70:FF:000016	triose-phosphate isomerase	ARBA00011940
NA	3.20.20.70:FF:000020	triose-phosphate isomerase	ARBA00011940
2	3.20.20.70:FF:000328	triose-phosphate isomerase	ARBA00011940
NA	IPR000836,IPR005854,IPR017932	amidophosphoribosyltransferase	ARBA00011941
2759	3.60.20.10:FF:000047	amidophosphoribosyltransferase	ARBA00011941
90964	IPR002071,IPR016071	micrococcal nuclease	ARBA00011942
40674	IPR002999,IPR016685	micrococcal nuclease	ARBA00011942
90964	2.40.50.90:FF:000025	micrococcal nuclease	ARBA00011942
40674	2.30.30.140:FF:000047,2.40.50.90:FF:000001	micrococcal nuclease	ARBA00011942
